price,room_type,neighbourhood_cleansed,property_type,accommodates,beds,number_of_reviews,reviews_per_month,last_review,availability_365
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Chelsea,Entire rental unit,2,1.0,0,,,363
$468.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Chelsea,Entire rental unit,2,1.0,0,,,363
$61.00,Private room,Sunset Park,Private room in rental unit,2,1.0,0,,,181
$334.00,Entire home/apt,West Village,Entire rental unit,2,1.0,0,,,363
$192.00,Entire home/apt,Boerum Hill,Entire rental unit,3,2.0,0,,,245
$79.00,Private room,Harlem,Private room in rental unit,2,1.0,0,,,234
$125.00,Private room,Harlem,Private room in rental unit,2,1.0,0,,,268
$79.00,Private room,Harlem,Private room in rental unit,2,1.0,0,,,222
$75.00,Entire home/apt,Jamaica,Entire rental unit,5,2.0,1,0.91,2024-10-03,306
$334.00,Entire home/apt,Lower East Side,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$359.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Financial District,Entire rental unit,4,1.0,0,,,363
$334.00,Entire home/apt,Theater District,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,SoHo,Entire rental unit,2,1.0,0,,,363
$59.00,Private room,Bedford-Stuyvesant,Private room in rental unit,1,1.0,1,0.83,2024-09-30,252
$189.00,Entire home/apt,Midtown,Entire rental unit,4,1.0,0,,,229
$99.00,Entire home/apt,Harlem,Entire rental unit,4,2.0,1,0.37,2024-08-16,319
$54.00,Shared room,Inwood,Shared room in rental unit,1,1.0,0,,,352
$72.00,Entire home/apt,Williamsbridge,Entire home,2,1.0,0,,,277
$85.00,Private room,Long Island City,Private room in rental unit,2,1.0,0,,,214
$80.00,Private room,Bay Ridge,Private room in home,2,1.0,1,1.0,2024-10-16,335
$334.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Chelsea,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,4,2.0,0,,,363
$99.00,Private room,East Elmhurst,Private room in home,2,2.0,4,0.98,2024-10-16,341
$160.00,Entire home/apt,Midland Beach,Entire home,3,2.0,4,0.98,2024-08-01,204
$132.00,Private room,Flatbush,Private room in rental unit,2,1.0,5,2.34,2024-10-14,347
,Private room,Bedford-Stuyvesant,Private room in rental unit,1,,0,,,0
$116.00,Private room,Elmhurst,Private room in rental unit,2,1.0,35,10.82,2024-10-30,139
$165.00,Private room,Bedford-Stuyvesant,Private room in rental unit,2,2.0,2,0.83,2024-09-16,107
$53.00,Private room,Clinton Hill,Private room in rental unit,1,1.0,0,,,354
$49.00,Private room,Fort Greene,Private room in rental unit,1,1.0,1,0.42,2024-08-25,307
$49.00,Private room,Clinton Hill,Private room in rental unit,1,1.0,0,,,354
$46.00,Private room,Clinton Hill,Private room in rental unit,1,1.0,0,,,354
$48.00,Private room,Clinton Hill,Private room in rental unit,1,1.0,1,0.31,2024-07-31,354
$47.00,Private room,Fort Greene,Private room in rental unit,1,1.0,1,0.46,2024-09-01,338
$45.00,Private room,Crown Heights,Private room in rental unit,1,1.0,0,,,354
$44.00,Private room,Crown Heights,Private room in rental unit,1,1.0,0,,,307
$60.00,Private room,East New York,Private room in home,1,1.0,3,0.93,2024-10-14,226
$334.00,Entire home/apt,Washington Heights,Entire rental unit,2,1.0,0,,,363
$668.00,Entire home/apt,East Village,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Upper West Side,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Financial District,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,0,,,363
,Private room,St. Albans,Private room in home,2,,1,0.34,2024-08-08,269
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Upper West Side,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Two Bridges,Entire rental unit,2,2.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Flatiron District,Entire rental unit,2,1.0,0,,,363
,Entire home/apt,Midwood,Entire home,8,,0,,,362
$334.00,Entire home/apt,Financial District,Entire rental unit,2,1.0,0,,,363
$90.00,Private room,Bushwick,Private room in rental unit,1,1.0,0,,,85
"$1,336.00",Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Theater District,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$36.00,Private room,Crown Heights,Private room in rental unit,1,1.0,0,,,259
$252.00,Entire home/apt,Carroll Gardens,Entire rental unit,6,5.0,0,,,212
$36.00,Private room,Crown Heights,Private room in rental unit,1,1.0,0,,,122
$188.00,Entire home/apt,Williamsburg,Entire rental unit,4,1.0,0,,,338
$270.00,Entire home/apt,Greenpoint,Entire rental unit,4,2.0,1,0.77,2024-09-27,183
,Entire home/apt,Chelsea,Entire rental unit,6,,0,,,0
$55.00,Private room,Bedford-Stuyvesant,Private room in rental unit,1,1.0,0,,,243
$120.00,Entire home/apt,Canarsie,Entire rental unit,3,2.0,0,,,234
$334.00,Entire home/apt,Hell's Kitchen,Entire rental unit,4,2.0,0,,,363
$334.00,Entire home/apt,Theater District,Entire rental unit,4,2.0,0,,,363
$105.00,Entire home/apt,Upper East Side,Entire rental unit,3,1.0,1,0.37,2024-08-17,316
$534.00,Entire home/apt,Chelsea,Entire rental unit,4,2.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$267.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$267.00,Entire home/apt,Theater District,Entire rental unit,2,1.0,0,,,363
$267.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$267.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$120.00,Entire home/apt,Gravesend,Entire home,5,5.0,2,0.65,2024-09-04,218
$54.00,Shared room,Inwood,Shared room in rental unit,1,1.0,0,,,365
$334.00,Entire home/apt,Financial District,Entire rental unit,4,2.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
,Entire home/apt,East Village,Entire rental unit,2,,0,,,0
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Hell's Kitchen,Entire rental unit,4,2.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,0,,,363
,Entire home/apt,Chelsea,Entire rental unit,3,,0,,,0
$231.00,Entire home/apt,Flushing,Entire rental unit,5,3.0,28,7.71,2024-10-27,130
$120.00,Private room,Flushing,Private room in rental unit,2,1.0,15,4.21,2024-10-22,144
$70.00,Entire home/apt,Cypress Hills,Entire rental unit,2,1.0,1,0.42,2024-08-25,267
$105.00,Entire home/apt,Crown Heights,Entire rental unit,2,1.0,0,,,365
$163.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,0,,,37
$142.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,0,,,125
$334.00,Entire home/apt,Financial District,Entire rental unit,2,1.0,0,,,363
$234.00,Entire home/apt,Lower East Side,Entire rental unit,4,2.0,0,,,363
$55.00,Private room,Fort Greene,Private room in rental unit,1,1.0,0,,,307
,Private room,Harlem,Private room in rental unit,1,,0,,,0
$95.00,Private room,Hell's Kitchen,Private room in rental unit,1,1.0,0,,,61
,Private room,Hell's Kitchen,Private room in rental unit,1,,0,,,338
$60.00,Private room,Harlem,Private room in rental unit,1,1.0,0,,,30
"$2,450.00",Entire home/apt,Murray Hill,Entire place,10,5.0,0,,,269
$90.00,Private room,Upper West Side,Private room in rental unit,1,1.0,0,,,115
$51.00,Private room,Clinton Hill,Private room in rental unit,1,1.0,0,,,354
$50.00,Private room,Fort Greene,Private room in rental unit,1,1.0,0,,,354
$471.00,Private room,Midtown,Private room in resort,2,1.0,0,,,275
$61.00,Private room,Bedford-Stuyvesant,Private room in rental unit,1,1.0,0,,,89
,Private room,Crown Heights,Private room in rental unit,1,,0,,,0
,Private room,Theater District,Private room in serviced apartment,4,,2,0.97,2024-09-26,362
$67.00,Private room,Harlem,Private room in rental unit,2,1.0,0,,,180
$397.00,Entire home/apt,Parkchester,Entire rental unit,10,2.0,0,,,365
$115.00,Entire home/apt,Upper East Side,Entire rental unit,4,2.0,0,,,263
,Entire home/apt,Murray Hill,Entire rental unit,2,,0,,,0
$160.00,Entire home/apt,Canarsie,Entire rental unit,4,2.0,16,4.36,2024-11-01,208
$289.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,0,,,158
$196.00,Private room,Bedford-Stuyvesant,Private room in townhouse,2,2.0,9,2.33,2024-10-21,354
$300.00,Entire home/apt,Williamsburg,Entire rental unit,4,3.0,0,,,229
$472.00,Entire home/apt,Midtown,Entire rental unit,4,2.0,0,,,289
$307.00,Entire home/apt,Upper East Side,Entire rental unit,4,2.0,0,,,245
$318.00,Entire home/apt,Upper West Side,Entire rental unit,2,1.0,0,,,304
$355.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,0,,,300
$70.00,Entire home/apt,Bay Ridge,Entire rental unit,2,2.0,0,,,63
$350.00,Private room,Fort Greene,Private room in home,2,1.0,0,,,365
$383.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,23,10.95,2024-11-03,203
$362.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,2,1.0,2024-09-09,205
$343.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,3,1.76,2024-09-16,211
$410.00,Entire home/apt,Hell's Kitchen,Entire rental unit,4,2.0,1,0.47,2024-09-02,207
$441.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,0,,,201
$400.00,Entire home/apt,East New York,Entire rental unit,16,6.0,0,,,365
,Entire home/apt,Washington Heights,Entire rental unit,4,,1,0.6,2024-09-16,0
,Entire home/apt,Laurelton,Entire rental unit,4,,0,,,179
$145.00,Entire home/apt,Fort Greene,Entire rental unit,3,1.0,1,1.0,2024-11-01,187
$525.00,Entire home/apt,Jamaica Hills,Entire rental unit,9,5.0,6,1.7,2024-11-01,347
$350.00,Entire home/apt,Financial District,Entire rental unit,2,1.0,2,0.62,2024-10-10,90
$293.00,Private room,Castle Hill,Private room in home,2,1.0,3,3.0,2024-11-01,0
$49.00,Entire home/apt,Chelsea,Entire rental unit,1,1.0,0,,,112
$425.00,Entire home/apt,Upper East Side,Entire rental unit,6,3.0,0,,,364
$167.00,Entire home/apt,SoHo,Entire rental unit,4,2.0,1,0.51,2024-09-07,153
$201.00,Entire home/apt,Financial District,Entire rental unit,4,2.0,0,,,111
,Entire home/apt,Rosedale,Entire rental unit,2,,0,,,180
$149.00,Entire home/apt,Murray Hill,Entire rental unit,2,1.0,3,0.95,2024-10-13,355
$135.00,Entire home/apt,Upper East Side,Entire rental unit,4,2.0,0,,,316
$271.00,Entire home/apt,Financial District,Entire rental unit,2,1.0,1,0.43,2024-08-27,187
$55.00,Private room,Briarwood,Private room in rental unit,1,1.0,0,,,363
$309.00,Entire home/apt,Financial District,Entire rental unit,2,1.0,2,0.88,2024-09-02,224
$783.00,Entire home/apt,Financial District,Entire rental unit,4,2.0,0,,,307
$800.00,Entire home/apt,Midtown,Entire condo,6,3.0,0,,,319
$73.00,Private room,Washington Heights,Private room in rental unit,2,1.0,1,1.0,2024-10-05,65
$153.00,Entire home/apt,Upper East Side,Entire rental unit,2,1.0,0,,,257
$234.00,Entire home/apt,Chelsea,Entire rental unit,2,1.0,0,,,363
$234.00,Entire home/apt,Financial District,Entire rental unit,2,1.0,0,,,363
$234.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Upper West Side,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Chinatown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Washington Heights,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Chinatown,Entire rental unit,2,2.0,0,,,363
$334.00,Entire home/apt,Flatiron District,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$180.00,Entire home/apt,Crown Heights,Entire rental unit,4,1.0,1,1.0,2024-10-24,179
$334.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Chelsea,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Financial District,Entire rental unit,4,2.0,0,,,363
,Entire home/apt,Midtown,Entire rental unit,2,,0,,,363
,Entire home/apt,Chelsea,Entire rental unit,2,,0,,,363
$334.00,Entire home/apt,West Village,Entire rental unit,2,2.0,0,,,363
$120.00,Private room,Bushwick,Private room in rental unit,2,1.0,0,,,269
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Upper West Side,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Chelsea,Entire rental unit,2,2.0,0,,,363
$334.00,Entire home/apt,Chinatown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Kips Bay,Entire rental unit,2,1.0,0,,,363
$180.00,Entire home/apt,Chelsea,Entire rental unit,1,1.0,0,,,144
$334.00,Entire home/apt,Theater District,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Chelsea,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Theater District,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Flatiron District,Entire rental unit,2,1.0,0,,,363
,Entire home/apt,Upper West Side,Entire rental unit,2,,0,,,363
$334.00,Entire home/apt,Theater District,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Financial District,Entire rental unit,2,2.0,0,,,363
$334.00,Entire home/apt,Murray Hill,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Theater District,Entire rental unit,2,1.0,0,,,363
,Entire home/apt,Harlem,Entire rental unit,2,,0,,,363
$334.00,Entire home/apt,Chelsea,Entire rental unit,2,1.0,0,,,363
$125.00,Entire home/apt,East Harlem,Entire rental unit,4,1.0,0,,,365
$180.00,Entire home/apt,Washington Heights,Entire rental unit,4,2.0,0,,,243
$68.00,Private room,Throgs Neck,Private room in home,3,1.0,1,0.94,2024-10-04,326
$85.00,Private room,Washington Heights,Private room in rental unit,2,1.0,0,,,270
$199.00,Private room,Longwood,Private room in home,2,1.0,0,,,180
$120.00,Entire home/apt,East Harlem,Entire rental unit,4,2.0,0,,,363
$148.00,Entire home/apt,Long Island City,Entire rental unit,3,1.0,0,,,143
$185.00,Private room,Bedford-Stuyvesant,Private room in rental unit,4,2.0,19,5.59,2024-10-25,239
$334.00,Entire home/apt,Theater District,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Chelsea,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Tribeca,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,SoHo,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,SoHo,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Financial District,Entire rental unit,2,2.0,0,,,363
$334.00,Entire home/apt,Murray Hill,Entire rental unit,2,1.0,0,,,363
$534.00,Entire home/apt,Financial District,Entire rental unit,2,1.0,0,,,363
$88.00,Entire home/apt,Bellerose,Entire rental unit,4,2.0,0,,,307
$60.00,Private room,Jamaica Hills,Private room in home,2,1.0,1,1.0,2024-10-15,228
$220.00,Entire home/apt,Chelsea,Entire rental unit,2,1.0,0,,,365
$184.00,Private room,Murray Hill,Private room in rental unit,1,2.0,0,,,365
$334.00,Entire home/apt,Financial District,Entire rental unit,2,1.0,0,,,363
$434.00,Entire home/apt,Tribeca,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Flatiron District,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,4,1.0,0,,,363
$334.00,Entire home/apt,West Village,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,West Village,Entire rental unit,2,1.0,0,,,363
$105.00,Entire home/apt,Grant City,Entire rental unit,2,2.0,0,,,267
$334.00,Entire home/apt,Chelsea,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Midtown,Entire rental unit,2,2.0,0,,,363
$334.00,Entire home/apt,Theater District,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Lower East Side,Entire rental unit,2,1.0,0,,,363
$334.00,Entire home/apt,Financial District,Entire rental unit,2,1.0,0,,,363
,Private room,Astoria,Private room in rental unit,2,,0,,,51
$400.00,Entire home/apt,East New York,Entire rental unit,16,6.0,0,,,365
$80.00,Private room,Richmond Hill,Private room in rental unit,1,1.0,0,,,269
$169.00,Entire home/apt,Bay Ridge,Entire townhouse,9,4.0,1,1.0,2024-10-14,226
$121.00,Private room,Williamsburg,Private room in rental unit,2,1.0,0,,,89
,Entire home/apt,Laurelton,Entire home,4,,0,,,362
$220.00,Entire home/apt,Greenpoint,Entire rental unit,4,1.0,0,,,222
$600.00,Entire home/apt,Greenpoint,Entire home,6,4.0,1,0.46,2024-09-01,177
$183.00,Entire home/apt,Williamsburg,Entire rental unit,5,2.0,0,,,248
$160.00,Entire home/apt,Williamsburg,Entire rental unit,2,1.0,0,,,212
$214.00,Entire home/apt,East Village,Entire rental unit,2,1.0,0,,,89
,Entire home/apt,Financial District,Entire rental unit,4,,0,,,0
$54.00,Private room,Fort Greene,Private room in rental unit,1,1.0,0,,,248
$50.00,Private room,Clinton Hill,Private room in rental unit,1,1.0,0,,,354
$47.00,Private room,Fort Greene,Private room in rental unit,1,1.0,0,,,342
$49.00,Private room,Fort Greene,Private room in rental unit,1,1.0,0,,,354
$522.00,Entire home/apt,Nolita,Entire rental unit,6,3.0,1,0.36,2024-08-13,173
$280.00,Entire home/apt,Midtown,Entire rental unit,4,2.0,15,4.55,2024-10-19,236
$298.00,Entire home/apt,Midtown,Entire rental unit,4,1.0,9,4.22,2024-10-20,324
$120.00,Entire home/apt,Jackson Heights,Entire rental unit,4,1.0,0,,,286
$355.00,Private room,Midtown,Private room in hostel,4,2.0,0,,,269
"$1,950.00",Entire home/apt,Kips Bay,Entire condo,12,6.0,0,,,319
,Entire home/apt,Lower East Side,Entire rental unit,2,,0,,,0
,Private room,Upper West Side,Private room in rental unit,1,,0,,,0
,Private room,Upper East Side,Private room in rental unit,1,,0,,,0
$80.00,Private room,Richmond Hill,Private room in home,2,1.0,1,0.45,2024-08-31,262
$374.00,Entire home/apt,West Village,Entire rental unit,2,1.0,0,,,330
,Entire home/apt,Harlem,Entire rental unit,4,,0,,,308
$480.00,Entire home/apt,Midtown,Entire rental unit,8,3.0,1,0.57,2024-09-13,342
$650.00,Entire home/apt,Chelsea,Entire rental unit,4,2.0,0,,,269
$829.00,Entire home/apt,Chelsea,Entire rental unit,10,4.0,23,6.9,2024-11-03,304
$75.00,Entire home/apt,Chelsea,Entire rental unit,2,1.0,0,,,81
$120.00,Entire home/apt,Elmhurst,Entire rental unit,2,1.0,0,,,365
$325.00,Entire home/apt,East Harlem,Entire rental unit,6,3.0,0,,,321
$129.00,Entire home/apt,Prospect-Lefferts Gardens,Entire rental unit,6,3.0,0,,,348
$50.00,Entire home/apt,Chelsea,Entire rental unit,1,1.0,1,0.68,2024-09-22,167
$79.00,Private room,Richmond Hill,Private room in home,2,1.0,0,,,269
$80.00,Private room,Richmond Hill,Private room in home,3,1.0,0,,,269
$69.00,Private room,Richmond Hill,Private room in home,2,1.0,0,,,269
$147.00,Entire home/apt,Gowanus,Entire rental unit,2,1.0,0,,,308
$47.00,Private room,Crown Heights,Private room in rental unit,1,1.0,0,,,354
$50.00,Private room,Harlem,Private room in rental unit,1,1.0,1,1.0,2024-10-06,342
$45.00,Private room,Crown Heights,Private room in rental unit,1,1.0,0,,,187
$44.00,Private room,Crown Heights,Private room in rental unit,1,1.0,0,,,354
$43.00,Private room,Crown Heights,Private room in rental unit,1,1.0,0,,,354
$43.00,Private room,Crown Heights,Private room in rental unit,1,1.0,0,,,354
$40.00,Private room,Crown Heights,Private room in rental unit,1,1.0,0,,,354
$38.00,Private room,Crown Heights,Private room in rental unit,1,1.0,0,,,354
$36.00,Private room,Crown Heights,Private room in rental unit,1,1.0,1,0.37,2024-08-15,354
$203.00,Entire home/apt,Cypress Hills,Entire rental unit,16,5.0,0,,,365
$68.00,Private room,Bedford-Stuyvesant,Private room in rental unit,2,1.0,0,,,107
,Private room,Bayswater,Private room in home,1,,1,1.0,2024-10-14,294
$62.00,Private room,Bayswater,Private room in home,1,1.0,0,,,193
,Private room,Bayswater,Private room in home,1,,0,,,333
$86.00,Private room,Rockaway Beach,Private room in home,2,1.0,17,6.07,2024-10-29,82
$275.00,Entire home/apt,Lower East Side,Entire loft,2,1.0,0,,,365
,Entire home/apt,West Village,Entire rental unit,2,,1,0.45,2024-08-30,53
$57.00,Entire home/apt,Upper West Side,Entire rental unit,1,1.0,1,0.38,2024-08-18,153
$122.00,Entire home/apt,Crown Heights,Entire rental unit,2,1.0,0,,,70
$75.00,Shared room,East New York,Shared room in rental unit,2,1.0,0,,,365
$104.00,Private room,Port Morris,Private room in rental unit,2,1.0,0,,,364
$85.00,Entire home/apt,Queens Village,Entire rental unit,3,1.0,0,,,365
$317.00,Entire home/apt,Chinatown,Entire rental unit,4,2.0,0,,,61
$100.00,Entire home/apt,Inwood,Entire condo,2,1.0,0,,,349
$149.00,Entire home/apt,Upper West Side,Entire rental unit,2,1.0,0,,,358
$150.00,Private room,Ditmars Steinway,Private room in rental unit,1,1.0,7,3.23,2024-10-17,62
$66.00,Private room,Bedford-Stuyvesant,Private room in rental unit,2,1.0,0,,,254
$970.00,Entire home/apt,Williamsburg,Entire rental unit,14,6.0,5,2.59,2024-10-20,87
$65.00,Private room,East Harlem,Private room in rental unit,1,1.0,0,,,91
$72.00,Private room,East Village,Private room in rental unit,1,1.0,0,,,91
$380.00,Entire home/apt,Hell's Kitchen,Entire rental unit,8,4.0,0,,,211
$90.00,Private room,Washington Heights,Private room in rental unit,2,1.0,0,,,270
$60.00,Private room,East Village,Private room in rental unit,1,1.0,1,0.83,2024-09-30,91
$136.00,Private room,Boerum Hill,Private room in condo,2,1.0,0,,,243
$200.00,Entire home/apt,Upper West Side,Entire rental unit,3,2.0,0,,,339
$119.00,Entire home/apt,Howard Beach,Entire rental unit,2,1.0,0,,,269
$368.00,Entire home/apt,East Harlem,Entire rental unit,6,3.0,0,,,302
$250.00,Entire home/apt,Tribeca,Entire rental unit,3,2.0,1,0.39,2024-08-20,338
$57.00,Entire home/apt,Upper West Side,Entire rental unit,2,1.0,0,,,36
$48.00,Private room,Bath Beach,Private room in rental unit,1,1.0,0,,,90
$999.00,Entire home/apt,Financial District,Entire rental unit,6,3.0,0,,,152
$208.00,Entire home/apt,Greenpoint,Entire rental unit,3,1.0,0,,,106
$98.00,Private room,Flushing,Private room in rental unit,2,1.0,18,4.78,2024-10-26,159
,Entire home/apt,Greenwich Village,Entire rental unit,2,,0,,,0
$290.00,Entire home/apt,Nolita,Entire rental unit,2,1.0,0,,,331
$390.00,Entire home/apt,Lower East Side,Entire rental unit,2,1.0,1,0.37,2024-08-17,293
$382.00,Entire home/apt,Long Island City,Entire rental unit,2,1.0,0,,,360
$325.00,Entire home/apt,Upper West Side,Entire rental unit,2,1.0,0,,,163
$552.00,Entire home/apt,Midtown,Entire rental unit,4,2.0,0,,,182
$120.00,Entire home/apt,Sunnyside,Entire rental unit,2,2.0,0,,,270
$300.00,Entire home/apt,Washington Heights,Entire home,6,5.0,0,,,365
$379.00,Entire home/apt,SoHo,Entire rental unit,2,1.0,0,,,184
$125.00,Private room,East Harlem,Private room in rental unit,2,1.0,0,,,122
$185.00,Entire home/apt,Claremont Village,Entire rental unit,2,1.0,13,4.64,2024-10-31,322
$235.00,Entire home/apt,Upper West Side,Entire rental unit,4,2.0,0,,,316
$295.00,Entire home/apt,Greenpoint,Entire rental unit,6,2.0,0,,,326
$300.00,Entire home/apt,Lower East Side,Entire rental unit,2,1.0,1,1.0,2024-10-09,306
$147.00,Private room,Midtown,Private room in rental unit,8,4.0,5,2.31,2024-10-14,87
$175.00,Entire home/apt,Theater District,Entire rental unit,4,2.0,1,1.0,2024-10-10,196
$253.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,11,4.18,2024-10-23,230
$136.00,Entire home/apt,Crown Heights,Entire rental unit,4,4.0,0,,,248
$916.00,Entire home/apt,Bushwick,Entire rental unit,14,6.0,9,2.73,2024-10-21,93
$49.00,Entire home/apt,Norwood,Entire rental unit,1,1.0,0,,,355
"$1,627.00",Entire home/apt,Upper East Side,Entire rental unit,4,2.0,0,,,357
$415.00,Entire home/apt,Gowanus,Entire rental unit,4,2.0,0,,,230
$500.00,Entire home/apt,Lower East Side,Entire rental unit,4,2.0,0,,,298
$75.00,Entire home/apt,Ozone Park,Entire rental unit,6,3.0,0,,,365
$500.00,Entire home/apt,Chinatown,Entire rental unit,6,3.0,1,0.29,2024-07-26,365
$655.00,Private room,Williamsburg,Room in hotel,2,,0,,,106
$39.00,Shared room,Bedford-Stuyvesant,Shared room in rental unit,1,1.0,0,,,276
$195.00,Private room,Red Hook,Private room in rental unit,2,2.0,0,,,133
$105.00,Private room,Sunnyside,Private room in rental unit,2,1.0,0,,,269
,Entire home/apt,East Village,Entire rental unit,2,,0,,,0
$317.00,Entire home/apt,Bedford-Stuyvesant,Entire guest suite,6,5.0,18,5.45,2024-11-01,299
$225.00,Entire home/apt,Chelsea,Entire rental unit,4,3.0,0,,,258
$82.00,Private room,East Flatbush,Private room in home,2,1.0,0,,,269
,Entire home/apt,Highbridge,Entire rental unit,2,,1,1.0,2024-10-22,5
$199.00,Entire home/apt,Greenpoint,Entire rental unit,2,2.0,1,0.81,2024-09-29,168
$75.00,Entire home/apt,Chelsea,Entire rental unit,1,1.0,0,,,244
$111.00,Private room,Ditmars Steinway,Private room in rental unit,1,1.0,4,1.69,2024-10-19,344
$129.00,Private room,Woodhaven,Private room in home,4,2.0,0,,,218
,Entire home/apt,Midtown,Entire rental unit,2,,0,,,260
,Entire home/apt,Boerum Hill,Entire rental unit,4,,0,,,20
$95.00,Entire home/apt,Upper West Side,Entire rental unit,2,1.0,1,1.0,2024-10-28,81
$120.00,Entire home/apt,Harlem,Entire rental unit,4,2.0,0,,,353
