price,room_type,neighbourhood_cleansed,property_type,accommodates,beds,number_of_reviews,reviews_per_month,last_review,availability_365
,Entire home/apt,Williamsburg,Entire condo,2,,94,0.58,2023-08-20,0
$65.00,Entire home/apt,Bedford-Stuyvesant,Entire loft,4,1.0,92,0.57,2020-11-06,276
$165.00,Private room,Bedford-Stuyvesant,Private room in home,2,1.0,27,0.17,2017-10-08,365
,Entire home/apt,Williamsburg,Entire rental unit,2,,145,0.93,2023-04-01,2
$120.00,Private room,Bedford-Stuyvesant,Private room in townhouse,2,2.0,76,0.48,2020-01-03,248
$106.00,Private room,Bedford-Stuyvesant,Private room in townhouse,2,1.0,63,0.4,2024-06-30,290
$606.00,Private room,Williamsburg,Private room in townhouse,6,3.0,57,0.51,2024-08-12,55
$275.00,Entire home/apt,Upper West Side,Entire rental unit,6,5.0,187,1.16,2023-07-09,18
,Private room,Bushwick,Private room in rental unit,2,,61,0.45,2019-09-29,0
,Entire home/apt,Carroll Gardens,Entire rental unit,6,,6,0.04,2015-08-08,0
$108.00,Entire home/apt,Windsor Terrace,Entire guest suite,2,1.0,123,0.77,2024-05-08,172
,Entire home/apt,Gravesend,Entire rental unit,4,,0,,,64
,Entire home/apt,East Harlem,Entire rental unit,2,,15,0.09,2016-02-15,0
$98.00,Private room,Fort Greene,Private room in rental unit,2,1.0,252,1.97,2024-10-22,206
$700.00,Entire home/apt,Upper West Side,Entire loft,2,1.0,96,0.59,2020-11-20,358
$230.00,Entire home/apt,Chelsea,Entire condo,2,2.0,32,0.2,2023-09-27,88
$78.00,Private room,Greenpoint,Private room in rental unit,2,1.0,261,1.62,2020-03-08,63
"$2,500.00",Entire home/apt,Upper West Side,Entire condo,9,4.0,25,0.16,2016-01-20,364
$112.00,Entire home/apt,Crown Heights,Entire rental unit,2,1.0,31,0.19,2019-08-09,63
,Entire home/apt,Chelsea,Entire condo,4,,5,0.06,2019-06-24,0
$150.00,Entire home/apt,Kips Bay,Entire condo,2,1.0,129,0.81,2024-09-14,320
,Private room,East Village,Private room in condo,1,,128,0.8,2022-09-11,87
,Entire home/apt,Nolita,Entire rental unit,6,,19,0.12,2022-07-28,0
$139.00,Entire home/apt,East Harlem,Entire condo,3,1.0,126,0.79,2024-07-13,362
$225.00,Entire home/apt,Allerton,Entire guest suite,2,2.0,347,2.16,2024-05-01,365
